Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,656.289978,657.719971,627.51001,636.98999,636.98999,9314500
2016-01-05,646.859985,646.909973,627.650024,633.789978,633.789978,5822600
2016-01-06,622.0,639.789978,620.309998,632.650024,632.650024,5329200
2016-01-07,621.799988,630.0,605.210022,607.940002,607.940002,7074900
2016-01-08,619.659973,624.140015,606.0,607.049988,607.049988,5512900
2016-01-11,612.47998,619.849976,598.570007,617.73999,617.73999,4891600
2016-01-12,625.25,625.98999,612.23999,617.890015,617.890015,4724100
2016-01-13,620.880005,620.880005,579.159973,581.809998,581.809998,7655200
2016-01-14,580.25,602.25,569.880005,593.0,593.0,7238000
2016-01-15,572.23999,584.619995,565.299988,570.179993,570.179993,7754500
2016-01-19,577.090027,584.0,566.450012,574.47998,574.47998,4807200
2016-01-20,564.359985,578.450012,547.179993,571.77002,571.77002,7966400
2016-01-21,573.580017,588.809998,568.219971,575.02002,575.02002,4952200
2016-01-22,588.72998,600.099976,584.109985,596.380005,596.380005,5120100
2016-01-25,597.98999,608.5,594.559998,596.530029,596.530029,4396100
2016-01-26,603.450012,604.5,590.380005,601.25,601.25,3765700
2016-01-27,601.98999,603.390015,578.780029,583.349976,583.349976,5152900
2016-01-28,608.369995,638.059998,597.549988,635.349976,635.349976,14015200
2016-01-29,571.97998,593.0,570.0,587.0,587.0,14677600
2016-02-01,578.150024,581.799988,570.309998,574.809998,574.809998,6355100
2016-02-02,570.0,571.559998,550.090027,552.099976,552.099976,6312000
2016-02-03,553.5,556.0,521.900024,531.070007,531.070007,10048700
2016-02-04,525.0,538.98999,519.219971,536.26001,536.26001,6199100
2016-02-05,529.280029,529.450012,499.190002,502.130005,502.130005,9708900
2016-02-08,486.470001,493.5,475.209991,488.100006,488.100006,9825500
2016-02-09,478.01001,498.380005,474.0,482.070007,482.070007,7077900
2016-02-10,491.76001,504.660004,486.0,490.480011,490.480011,6786200
2016-02-11,491.170013,509.299988,484.0,503.820007,503.820007,7397400
2016-02-12,510.700012,516.75,501.48999,507.079987,507.079987,5384800
2016-02-16,519.47998,524.450012,511.660004,521.099976,521.099976,5118500
2016-02-17,528.73999,537.47998,519.390015,534.099976,534.099976,4824000
2016-02-18,541.190002,541.200012,523.72998,525.0,525.0,4735000
2016-02-19,520.710022,535.950012,515.349976,534.900024,534.900024,4974700
